"Species","x","y","bio_1","bio_12","bio_14","bio_6","bio_9"
"Podomys floridanus",-75.5626393066,35.2290272769,184,1450,86,79,154
"Podomys floridanus",-75.6043059731,35.2706939434,184,1432,85,78,154
"Podomys floridanus",-75.7293059726,35.8956939409,171,1272,78,54,139
"Podomys floridanus",-76.1043059711,35.6040272754,173,1320,83,53,145
"Podomys floridanus",-76.2293059706,35.6456939419,172,1306,84,47,154
"Podomys floridanus",-76.5209726361,35.0206939444,184,1378,79,69,158
"Podomys floridanus",-76.5626393026,34.6040272794,191,1415,83,85,165
"Podomys floridanus",-76.5626393026,34.7290272789,188,1410,82,79,162
"Podomys floridanus",-76.6876393021,34.8540272784,185,1387,77,71,159
"Podomys floridanus",-76.8959726346,25.5206939824,252,1146,36,214,225
"Podomys floridanus",-77.0209726341,35.6873606084,166,1266,76,22,140
"Podomys floridanus",-77.1459726336,34.6456939459,185,1386,81,67,169
"Podomys floridanus",-77.2709726331,26.3123606459,250,1228,49,208,221
"Podomys floridanus",-77.3126392996,26.5623606449,249,1261,54,206,232
"Podomys floridanus",-77.4793059656,34.9373606114,175,1358,79,40,153
"Podomys floridanus",-77.6043059651,26.9790273099,248,1268,56,203,230
"Podomys floridanus",-77.7293059646,34.4373606134,183,1418,79,56,163
"Podomys floridanus",-77.7709726311,25.6873606484,252,1287,36,210,224
"Podomys floridanus",-77.8126392976,34.7706939454,176,1397,78,37,152
"Podomys floridanus",-77.8543059641,35.1873606104,168,1321,78,21,141
"Podomys floridanus",-77.8543059641,35.3956939429,166,1277,76,17,137
"Podomys floridanus",-77.8959726306,27.0206939764,247,1237,51,202,229
"Podomys floridanus",-77.9376392971,25.8123606479,251,1264,42,209,221
"Podomys floridanus",-78.1043059631,34.2706939474,182,1406,76,53,162
"Podomys floridanus",-78.2293059626,34.0623606149,186,1411,76,63,167
"Podomys floridanus",-78.2293059626,34.2706939474,181,1373,76,51,160
"Podomys floridanus",-78.2709726291,26.7290273109,248,1182,42,202,230
"Podomys floridanus",-78.3543059621,33.9373606154,188,1386,75,69,171
"Podomys floridanus",-78.3543059621,35.5623606089,163,1184,76,11,103
"Podomys floridanus",-78.5626392946,26.6456939779,248,1156,44,201,229
"Podomys floridanus",-78.7709726271,33.7706939494,189,1327,73,69,171
"Podomys floridanus",-78.8543059601,26.6456939779,248,1225,53,199,215
"Podomys floridanus",-78.9793059596,35.8123606079,160,1116,76,8,99
"Podomys floridanus",-79.0209726261,35.8123606079,160,1064,72,8,82
