x,y,Podomys_floridanus_1 logistic values
-75.5626393066,35.2290272769,0.004533492
-75.6043059731,35.2706939434,0.0046674684
-75.7293059726,35.8956939409,0.006228488
-76.1043059711,35.6040272754,0.005122139
-76.2293059706,35.6456939419,0.0040946323
-76.5209726361,35.0206939444,0.013929822
-76.5626393026,34.6040272794,0.015385432
-76.5626393026,34.7290272789,0.014173944
-76.6876393021,34.8540272784,0.016862275
-76.8959726346,25.5206939824,0.060055386
-77.0209726341,35.6873606084,0.0029324382
-77.1459726336,34.6456939459,0.0120452745
-77.2709726331,26.3123606459,0.08712879
-77.3126392996,26.5623606449,0.24356508
-77.4793059656,34.9373606114,0.004928694
-77.6043059651,26.9790273099,0.25433967
-77.7293059646,34.4373606134,0.009176912
-77.7709726311,25.6873606484,0.19384238
-77.8126392976,34.7706939454,0.0023011672
-77.8543059641,35.1873606104,0.002908087
-77.8543059641,35.3956939429,0.0024708866
-77.8959726306,27.0206939764,0.113406956
-77.9376392971,25.8123606479,0.18391486
-78.1043059631,34.2706939474,0.010564396
-78.2293059626,34.0623606149,0.0136747155
-78.2293059626,34.2706939474,0.01094465
-78.2709726291,26.7290273109,0.09135964
-78.3543059621,33.9373606154,0.018829294
-78.3543059621,35.5623606089,6.3705776E-4
-78.5626392946,26.6456939779,0.09102773
-78.7709726271,33.7706939494,0.038249932
-78.8543059601,26.6456939779,0.100829735
-78.9793059596,35.8123606079,5.687187E-4
-79.0209726261,35.8123606079,7.585755E-4
-79.1876392921,35.6873606084,2.1918397E-4
-79.1876392921,35.8956939409,4.265388E-4
-79.2293059586,34.2706939474,0.0026241757
-79.3543059581,35.1456939439,8.2186406E-4
-79.4376392911,35.6456939419,3.0083556E-4
-79.5626392906,35.2290272769,0.0014862902
-79.5626392906,35.3956939429,3.4215153E-4
-79.6876392901,33.0623606189,0.07860714
-79.6876392901,34.8123606119,0.0015332826
-79.8543059561,33.6040272834,0.01162476
-79.8959726226,35.9373606074,0.0010183373
-79.9376392891,35.2290272769,0.0010518403
-79.9793059556,32.6456939539,0.04835036
-79.9793059556,35.5623606089,0.0010183961
-80.0626392886,26.3540273124,0.2734369
-80.0626392886,26.6873606444,0.29462755
-80.1043059551,25.8956939809,0.23393987
-80.1043059551,26.3956939789,0.2737826
-80.1043059551,26.8123606439,0.28842336
-80.2709726211,25.9373606474,0.2725097
-80.2709726211,26.8540273104,0.17969322
-80.2709726211,27.1040273094,0.17553586
-80.2709726211,32.5623606209,0.0849422
-80.3126392876,26.3956939789,0.18362287
-80.3543059541,26.7290273109,0.19730714
-80.3959726206,26.9790273099,0.15548632
-80.3959726206,27.6040273074,0.40916288
-80.3959726206,27.8123606399,0.41683143
-80.3959726206,32.5623606209,0.021495143
-80.4376392871,26.4373606454,0.20415482
-80.4376392871,26.5623606449,0.14973877
-80.4376392871,27.2290273089,0.2574999
-80.4376392871,34.6040272794,8.9604274E-4
-80.4793059536,27.9373606394,0.37216556
-80.6459726196,25.6040273154,0.26933107
-80.6459726196,28.2706939714,0.1712145
-80.6876392861,26.0206939804,0.20373018
-80.7709726191,25.5206939824,0.20162241
-80.7709726191,25.5623606489,0.21195777
-80.7709726191,27.8123606399,0.41109502
-80.7709726191,32.1456939559,0.11709413
-80.7709726191,33.4373606174,0.0034362483
-80.8126392856,27.1040273094,0.3559605
-80.8126392856,34.7706939454,9.866375E-4
-80.8543059521,26.3540273124,0.3929778
-80.8543059521,34.4373606134,0.0019757422
-80.9376392851,26.5623606449,0.40529478
-81.0209726181,28.7706939694,0.5425327
-81.0209726181,29.2706939674,0.50342965
-81.0209726181,32.3956939549,0.0514825
-81.0626392846,27.2290273089,0.19182739
-81.0626392846,34.6873606124,0.0011420655
-81.1043059511,29.2290273009,0.40997466
-81.1043059511,35.3540272764,3.498067E-4
-81.1459726176,35.5623606089,7.544405E-4
-81.2293059506,25.9373606474,0.16687275
-81.3126392836,26.3123606459,0.40746754
-81.3126392836,29.7290272989,0.3879804
-81.3126392836,29.9790272979,0.35530442
-81.3126392836,30.0206939644,0.35504246
-81.3126392836,33.6040272834,0.0031648634
-81.3543059501,29.9373606314,0.3728791
-81.3543059501,31.3956939589,0.034657657
-81.3959726166,30.9790272939,0.19428179
-81.3959726166,35.9790272739,2.782024E-4
-81.4376392831,28.4373606374,0.20381105
-81.4793059496,31.3123606259,0.03372653
-81.4793059496,33.4790272839,0.0032113604
-81.4793059496,34.8540272784,7.878699E-4
-81.5209726161,25.9790273139,0.29541793
-81.5209726161,27.6456939739,0.55843127
-81.5209726161,29.3123606339,0.4263359
-81.5209726161,33.6873606164,0.0054741157
-81.5209726161,34.7290272789,0.0034023386
-81.5626392826,34.9373606114,5.8919424E-4
-81.5626392826,35.6456939419,4.204017E-4
-81.5626392826,35.9790272739,3.4988992E-4
-81.6459726156,35.6040272754,3.0380586E-4
-81.7293059486,30.1456939639,0.3062287
-81.7709726151,27.7706939734,0.40133157
-81.7709726151,29.1040273014,0.45522922
-81.8126392816,30.6040272954,0.15491603
-81.8126392816,35.3123606099,2.4698125E-4
-81.8543059481,30.3123606299,0.58888054
-81.8543059481,30.5206939624,0.102794275
-81.8543059481,30.9790272939,0.09709505
-81.8959726146,35.9373606074,3.3410297E-6
-81.9376392811,27.9373606394,0.40721574
-81.9376392811,31.8956939569,0.011932726
-81.9376392811,34.1873606144,9.897745E-4
-81.9793059476,28.8540273024,0.66559416
-81.9793059476,35.0206939444,6.190709E-4
-81.9793059476,35.9790272739,6.369601E-5
-82.0209726141,31.7706939574,0.011287312
-82.0209726141,35.4790272759,3.9557402E-5
-82.0209726141,35.8956939409,4.2825657E-5
-82.0626392806,33.5623606169,0.0030663467
-82.1043059471,34.2706939474,6.053151E-4
-82.1459726136,35.4790272759,3.9903887E-5
-82.1459726136,35.9790272739,1.5888766E-4
-82.1876392801,35.5206939424,9.641887E-5
-82.1876392801,35.7706939414,7.964817E-5
-82.2293059466,35.7706939414,9.254504E-5
-82.2293059466,35.8123606079,1.15942465E-4
-82.2709726131,26.9373606434,0.39117944
-82.2709726131,35.8956939409,2.7670836E-4
-82.3126392796,27.5623606409,0.5550102
-82.3126392796,34.8123606119,5.5594154E-4
-82.3126392796,35.3123606099,1.6625085E-6
-82.3126392796,35.3540272764,5.23762E-7
-82.3126392796,35.7706939414,1.9779027E-5
-82.3543059461,27.9790273059,0.50515264
-82.3543059461,30.7706939614,0.050264128
-82.3543059461,35.1040272774,9.032803E-5
-82.3543059461,35.2706939434,5.3022897E-5
-82.3543059461,35.3123606099,1.1267143E-5
-82.3543059461,35.3540272764,1.1663015E-5
-82.3959726126,34.6040272794,0.001208339
-82.3959726126,35.7290272749,1.5047067E-4
-82.3959726126,35.9373606074,0.0010098575
-82.4376392791,35.9790272739,6.9497817E-4
-82.4793059456,32.0206939564,0.0059054676
-82.4793059456,34.1873606144,0.0064064474
-82.5209726121,35.5206939424,6.1377956E-5
-82.5626392786,29.4790272999,0.6492675
-82.5626392786,30.5206939624,0.06316359
-82.5626392786,35.1873606104,2.7024575E-7
-82.6043059451,35.1456939439,1.0109494E-6
-82.6043059451,35.3956939429,2.647528E-4
-82.6459726116,34.7290272789,5.290635E-4
-82.6459726116,35.2706939434,5.8006488E-5
-82.6459726116,35.4790272759,2.8579173E-4
-82.6459726116,35.9373606074,9.1494556E-4
-82.6876392781,28.7706939694,0.65065557
-82.6876392781,34.8540272784,2.7193068E-4
-82.6876392781,34.8956939449,1.7392867E-4
-82.6876392781,35.0623606109,3.291989E-5
-82.6876392781,35.2706939434,9.5015406E-5
-82.6876392781,35.4373606094,2.2749467E-4
-82.7293059446,32.3540272884,0.004905161
-82.7709726111,27.9790273059,0.47433737
-82.7709726111,34.8540272784,6.817786E-5
-82.7709726111,35.0206939444,2.8205482E-6
