Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
6.81393E-11,0.000000007,0.000000043,1,0,0
2.02671E-10,0.000000027,0.000000127,0.999153976,0,0
8.34918E-10,0.000000178,0.000000522,0.996615905,0,0
8.38049E-10,0.000000262,0.000000524,0.995769882,0,0
2.7761E-9,0.000001068,0.000001735,0.992385787,0,0
4.51305E-9,0.000002732,0.000002821,0.989001692,0,0
1.47537E-8,0.000010631,0.000009221,0.981387479,0,0
2.77361E-8,0.000025066,0.000017334,0.975465313,0,0
5.26754E-8,0.000053138,0.00003292,0.968697124,0,0
7.63127E-8,0.00010427,0.000047692,0.961928934,0,0
1.53007E-7,0.000265209,0.000095617,0.950084602,0,0
2.83544E-7,0.000509203,0.000177177,0.940778342,0,0
4.86254E-7,0.001048336,0.000303806,0.929780034,0,0
1.01998E-6,0.00255977,0.000637058,0.91285956,0,0
1.59279E-6,0.00507123,0.000994472,0.89678511,0,0
2.80975E-6,0.010019682,0.001752957,0.877326565,0,0
4.69884E-6,0.025399073,0.002928077,0.844331641,0,0
8.1512E-6,0.050646035,0.0050685,0.810490694,0,0
1.3743E-5,0.100578448,0.008515949,0.77072758,0,0
2.50022E-5,0.200946503,0.015385432,0.725888325,0,0
3.7276E-5,0.302050174,0.022766316,0.698815567,0,0
5.74451E-5,0.402524961,0.034657658,0.681049069,0,0
8.20336E-5,0.502121909,0.048768887,0.669204738,0,0
9.44715E-5,0.607107413,0.055750937,0.659052453,0,0
1.06054E-4,0.708433582,0.062161332,0.650592217,0,0
1.10667E-4,0.75210436,0.064690406,0.647208122,0,0
1.31102E-4,0.800827014,0.075730877,0.643824027,0,0
1.52283E-4,0.913615268,0.086902663,0.637055838,0,0
1.60392E-4,1.007479485,0.091108906,0.631979695,0,0
1.72064E-4,1.106343385,0.097095051,0.626903553,0,0
1.86162E-4,1.214672696,0.104221593,0.621827411,0,0
2.01131E-4,1.312159043,0.111666024,0.617597293,0,0
2.10931E-4,1.415937826,0.116473101,0.613367174,0,0
2.21671E-4,1.50307748,0.121681602,0.60998308,0,0
2.58068E-4,1.761138797,0.138886145,0.600676819,0,0
2.89581E-4,2.008963852,0.153247122,0.593062606,0,0
3.20486E-4,2.253029514,0.166872754,0.586294416,0.008,0
3.40666E-4,2.51862619,0.175535855,0.579526227,0.008,0.032258065
