x,y,Podomys_floridanus avg
-75.5626393066,35.2290272769,0.0048021874
-75.6043059731,35.2706939434,0.004915895
-75.7293059726,35.8956939409,0.007096745
-76.1043059711,35.6040272754,0.0056430874
-76.2293059706,35.6456939419,0.004871307
-76.5209726361,35.0206939444,0.010240828
-76.5626393026,34.6040272794,0.01571494
-76.5626393026,34.7290272789,0.014207412
-76.6876393021,34.8540272784,0.014717072
-76.8959726346,25.5206939824,0.08037248
-77.0209726341,35.6873606084,0.0036169887
-77.1459726336,34.6456939459,0.011739619
-77.2709726331,26.3123606459,0.11251554
-77.3126392996,26.5623606449,0.24613391
-77.4793059656,34.9373606114,0.005685794
-77.6043059651,26.9790273099,0.25545782
-77.7293059646,34.4373606134,0.008917395
-77.7709726311,25.6873606484,0.18658932
-77.8126392976,34.7706939454,0.0023263153
-77.8543059641,35.1873606104,0.0032812331
-77.8543059641,35.3956939429,0.0030823913
-77.8959726306,27.0206939764,0.13433091
-77.9376392971,25.8123606479,0.19444843
-78.1043059631,34.2706939474,0.009895172
-78.2293059626,34.0623606149,0.012976753
-78.2293059626,34.2706939474,0.012917082
-78.2709726291,26.7290273109,0.112171695
-78.3543059621,33.9373606154,0.017359892
-78.3543059621,35.5623606089,8.725379E-4
-78.5626392946,26.6456939779,0.11382815
-78.7709726271,33.7706939494,0.040523253
-78.8543059601,26.6456939779,0.13040146
-78.9793059596,35.8123606079,7.6476677E-4
-79.0209726261,35.8123606079,9.4612164E-4
-79.1876392921,35.6873606084,4.0891097E-4
-79.1876392921,35.8956939409,6.5128214E-4
-79.2293059586,34.2706939474,0.0037764013
-79.3543059581,35.1456939439,0.0010498624
-79.4376392911,35.6456939419,4.0553047E-4
-79.5626392906,35.2290272769,0.0017723325
-79.5626392906,35.3956939429,4.9938675E-4
-79.6876392901,33.0623606189,0.07210819
-79.6876392901,34.8123606119,0.0020774202
-79.8543059561,33.6040272834,0.013293165
-79.8959726226,35.9373606074,0.0012422747
-79.9376392891,35.2290272769,0.0014682952
-79.9793059556,32.6456939539,0.065703705
-79.9793059556,35.5623606089,0.0013051655
-80.0626392886,26.3540273124,0.2804131
-80.0626392886,26.6873606444,0.3453012
-80.1043059551,25.8956939809,0.23529172
-80.1043059551,26.3956939789,0.27775282
-80.1043059551,26.8123606439,0.3370945
-80.2709726211,25.9373606474,0.2750407
-80.2709726211,26.8540273104,0.17343636
-80.2709726211,27.1040273094,0.16866931
-80.2709726211,32.5623606209,0.10605689
-80.3126392876,26.3956939789,0.18164603
-80.3543059541,26.7290273109,0.186884
-80.3959726206,26.9790273099,0.1441909
-80.3959726206,27.6040273074,0.4033288
-80.3959726206,27.8123606399,0.40574175
-80.3959726206,32.5623606209,0.029836863
-80.4376392871,26.4373606454,0.19017608
-80.4376392871,26.5623606449,0.14541703
-80.4376392871,27.2290273089,0.27645767
-80.4376392871,34.6040272794,0.0013896999
-80.4793059536,27.9373606394,0.35899246
-80.6459726196,25.6040273154,0.2782264
-80.6459726196,28.2706939714,0.2423817
-80.6876392861,26.0206939804,0.19613484
-80.7709726191,25.5206939824,0.16670676
-80.7709726191,25.5623606489,0.17223868
-80.7709726191,27.8123606399,0.3822441
-80.7709726191,32.1456939559,0.12336627
-80.7709726191,33.4373606174,0.0040408373
-80.8126392856,27.1040273094,0.36882505
-80.8126392856,34.7706939454,0.0014102166
-80.8543059521,26.3540273124,0.3913718
-80.8543059521,34.4373606134,0.0027437145
-80.9376392851,26.5623606449,0.39180562
-81.0209726181,28.7706939694,0.5323705
-81.0209726181,29.2706939674,0.49640363
-81.0209726181,32.3956939549,0.048402127
-81.0626392846,27.2290273089,0.27053377
-81.0626392846,34.6873606124,0.0016694863
-81.1043059511,29.2290273009,0.38904542
-81.1043059511,35.3540272764,5.3050433E-4
-81.1459726176,35.5623606089,9.5377356E-4
-81.2293059506,25.9373606474,0.16068806
-81.3126392836,26.3123606459,0.39785624
-81.3126392836,29.7290272989,0.39525342
-81.3126392836,29.9790272979,0.35855192
-81.3126392836,30.0206939644,0.35601056
-81.3126392836,33.6040272834,0.0039519854
-81.3543059501,29.9373606314,0.3461101
-81.3543059501,31.3956939589,0.03445897
-81.3959726166,30.9790272939,0.17973325
-81.3959726166,35.9790272739,3.3248376E-4
-81.4376392831,28.4373606374,0.28838143
-81.4793059496,31.3123606259,0.02986459
-81.4793059496,33.4790272839,0.0037027644
-81.4793059496,34.8540272784,0.001296808
-81.5209726161,25.9790273139,0.30653927
-81.5209726161,27.6456939739,0.5524609
-81.5209726161,29.3123606339,0.3904891
-81.5209726161,33.6873606164,0.006004047
-81.5209726161,34.7290272789,0.0060513797
-81.5626392826,34.9373606114,9.1492315E-4
-81.5626392826,35.6456939419,5.372862E-4
-81.5626392826,35.9790272739,4.1639176E-4
-81.6459726156,35.6040272754,2.9772188E-4
-81.7293059486,30.1456939639,0.29928172
-81.7709726151,27.7706939734,0.41399902
-81.7709726151,29.1040273014,0.41184762
-81.8126392816,30.6040272954,0.15091906
-81.8126392816,35.3123606099,3.9332826E-4
-81.8543059481,30.3123606299,0.55506474
-81.8543059481,30.5206939624,0.08934219
-81.8543059481,30.9790272939,0.09255226
-81.8959726146,35.9373606074,6.1724604E-6
-81.9376392811,27.9373606394,0.37564066
-81.9376392811,31.8956939569,0.021675965
-81.9376392811,34.1873606144,0.0015204111
-81.9793059476,28.8540273024,0.6593205
-81.9793059476,35.0206939444,8.0704025E-4
-81.9793059476,35.9790272739,7.698861E-5
-82.0209726141,31.7706939574,0.016055103
-82.0209726141,35.4790272759,6.1755614E-5
-82.0209726141,35.8956939409,5.0732604E-5
-82.0626392806,33.5623606169,0.0037348925
-82.1043059471,34.2706939474,9.919016E-4
-82.1459726136,35.4790272759,4.7707494E-5
-82.1459726136,35.9790272739,1.6269357E-4
-82.1876392801,35.5206939424,1.1693069E-4
-82.1876392801,35.7706939414,9.011059E-5
-82.2293059466,35.7706939414,8.849112E-5
-82.2293059466,35.8123606079,1.0414533E-4
-82.2709726131,26.9373606434,0.37237778
-82.2709726131,35.8956939409,2.5991915E-4
-82.3126392796,27.5623606409,0.5460303
-82.3126392796,34.8123606119,7.2953134E-4
-82.3126392796,35.3123606099,6.0926104E-6
-82.3126392796,35.3540272764,3.5168632E-6
-82.3126392796,35.7706939414,1.9826539E-5
-82.3543059461,27.9790273059,0.5344338
-82.3543059461,30.7706939614,0.052165277
-82.3543059461,35.1040272774,1.3458358E-4
-82.3543059461,35.2706939434,6.575568E-5
-82.3543059461,35.3123606099,2.108218E-5
-82.3543059461,35.3540272764,2.8872028E-5
-82.3959726126,34.6040272794,0.0017140356
-82.3959726126,35.7290272749,1.7777477E-4
-82.3959726126,35.9373606074,9.037675E-4
-82.4376392791,35.9790272739,5.003464E-4
-82.4793059456,32.0206939564,0.0071785394
-82.4793059456,34.1873606144,0.010337724
-82.5209726121,35.5206939424,9.361516E-5
-82.5626392786,29.4790272999,0.6655186
-82.5626392786,30.5206939624,0.05798284
-82.5626392786,35.1873606104,2.0174796E-6
-82.6043059451,35.1456939439,3.6316328E-6
-82.6043059451,35.3956939429,2.8392885E-4
-82.6459726116,34.7290272789,7.1876164E-4
-82.6459726116,35.2706939434,8.773309E-5
-82.6459726116,35.4790272759,3.0083716E-4
-82.6459726116,35.9373606074,9.126513E-4
-82.6876392781,28.7706939694,0.61690986
-82.6876392781,34.8540272784,5.182912E-4
-82.6876392781,34.8956939449,3.6628844E-4
-82.6876392781,35.0623606109,4.9370457E-5
-82.6876392781,35.2706939434,1.1855595E-4
-82.6876392781,35.4373606094,2.1125394E-4
-82.7293059446,32.3540272884,0.0060059116
-82.7709726111,27.9790273059,0.39932317
-82.7709726111,34.8540272784,1.0385337E-4
-82.7709726111,35.0206939444,1.3476922E-5
-82.7709726111,35.8123606079,0.0018624606
-82.8126392776,34.3540272804,0.0040173456
-82.8126392776,34.7706939454,1.1063479E-4
-82.8126392776,35.3123606099,2.01074E-5
-82.8543059441,34.0206939484,0.00620637
-82.8543059441,34.4790272799,0.004252751
-82.8543059441,35.3540272764,1.2677494E-6
-82.8543059441,35.4373606094,1.8071092E-4
-82.8543059441,35.6873606084,3.532019E-4
-82.8543059441,35.8956939409,0.0040461374
-82.8543059441,35.9790272739,0.0018155539
-82.8959726106,34.6873606124,2.7601077E-4
-82.8959726106,35.1456939439,6.0829852E-6
-82.8959726106,35.2290272769,1.1749366E-5
-82.8959726106,35.6456939419,1.11090245E-4
-82.8959726106,35.9373606074,0.0027300406
-82.9376392771,29.8956939649,0.54518944
-82.9376392771,34.0206939484,0.008942315
-82.9793059436,32.8956939529,0.025153277
-82.9793059436,34.7290272789,1.89344E-4
-83.0209726101,34.9790272779,1.520336E-5
-83.0209726101,35.0623606109,1.2422262E-6
-83.1043059431,29.1873606344,0.5956739
-83.1043059431,30.1456939639,0.09467819
-83.1043059431,33.9790272819,0.0022859771
-83.1043059431,34.6873606124,0.0010219127
-83.1043059431,35.1873606104,1.1323549E-6
-83.1459726096,33.0623606189,0.024854092
-83.1459726096,33.9790272819,0.0021422345
-83.1459726096,35.0623606109,3.9010724E-6
-83.1876392761,30.0623606309,0.051905155
-83.1876392761,35.6040272754,2.3385239E-5
-83.2293059426,35.0623606109,7.508937E-7
-83.2293059426,35.6873606084,1.5696352E-5
-83.2709726091,33.0623606189,0.0029776667
-83.2709726091,34.8123606119,1.1846789E-4
-83.3126392756,32.3540272884,0.024158932
-83.3126392756,34.8540272784,1.9566081E-5
-83.3126392756,35.2706939434,2.004413E-5
-83.3126392756,35.6456939419,1.818504E-5
-83.3543059421,29.6456939659,0.33941185
-83.3543059421,34.9790272779,1.751082E-5
-83.3543059421,35.3540272764,1.7740665E-5
-83.4793059416,32.4373606214,0.037250265
-83.4793059416,34.1040272814,0.005915426
-83.4793059416,34.8123606119,8.041071E-6
-83.4793059416,34.8956939449,1.0979383E-5
-83.5209726081,31.8540272904,0.007273789
-83.5209726081,34.5206939464,1.1474103E-4
-83.5209726081,34.6040272794,3.5088568E-4
-83.5209726081,34.8123606119,5.4491124E-5
-83.5209726081,35.0623606109,7.2400894E-6
-83.5626392746,29.9790272979,0.3498683
-83.5626392746,34.4373606134,1.1640367E-4
-83.6043059411,33.1040272854,0.028661065
-83.6043059411,35.4790272759,5.001766E-5
-83.6459726076,31.8540272904,0.033894934
-83.6459726076,35.5206939424,1.019055E-4
-83.6459726076,35.6873606084,0.0031445615
-83.6876392741,33.0623606189,0.029820673
-83.6876392741,33.2290272849,0.02363349
-83.6876392741,35.0623606109,2.4968294E-5
-83.6876392741,35.3540272764,3.8289378E-4
-83.6876392741,35.4373606094,0.002817107
-83.7293059406,32.6873606204,0.031913634
-83.7293059406,34.6456939459,4.611065E-5
-83.7293059406,34.7290272789,5.4213167E-5
-83.7293059406,35.1040272774,7.53396E-5
-83.7293059406,35.6040272754,0.0010910565
-83.7709726071,34.7290272789,3.1638057E-5
-83.7709726071,35.0206939444,4.2954244E-4
-83.8126392736,31.2290272929,0.016026907
-83.8126392736,33.9790272819,0.00574659
-83.8126392736,34.8956939449,8.8893985E-6
-83.8126392736,34.9373606114,5.706331E-5
-83.8543059401,34.5623606129,5.374876E-4
-83.8959726066,33.0623606189,0.011108975
-83.8959726066,34.9373606114,6.073918E-5
-83.9376392731,35.5206939424,4.1451486E-4
-84.0209726061,35.3123606099,6.401804E-6
-84.1043059391,31.3123606259,0.018056178
-84.1459726056,34.1040272814,0.0010993483
-84.1459726056,34.6456939459,2.0583959E-5
-84.1459726056,34.6873606124,3.862083E-5
-84.1876392721,30.3956939629,0.016364792
-84.2293059386,33.0623606189,0.023203047
-84.2293059386,34.4373606134,8.652224E-4
-84.2709726051,32.9373606194,0.0641892
-84.2709726051,33.8123606159,0.011859916
-84.3126392716,34.3123606139,0.0029925068
-84.3543059381,29.9373606314,0.17393626
