x,y,Podomys_floridanus stddev
-75.5626393066,35.2290272769,6.4631714E-4
-75.6043059731,35.2706939434,6.514701E-4
-75.7293059726,35.8956939409,8.235703E-4
-76.1043059711,35.6040272754,0.0011018509
-76.2293059706,35.6456939419,0.0014613747
-76.5209726361,35.0206939444,0.0026748057
-76.5626393026,34.6040272794,0.002408475
-76.5626393026,34.7290272789,0.0021538371
-76.6876393021,34.8540272784,0.0023920243
-76.8959726346,25.5206939824,0.018172085
-77.0209726341,35.6873606084,0.0010063484
-77.1459726336,34.6456939459,0.002851837
-77.2709726331,26.3123606459,0.02816669
-77.3126392996,26.5623606449,0.009554487
-77.4793059656,34.9373606114,0.0014747471
-77.6043059651,26.9790273099,0.016605668
-77.7293059646,34.4373606134,0.0014495165
-77.7709726311,25.6873606484,0.024164634
-77.8126392976,34.7706939454,3.561363E-4
-77.8543059641,35.1873606104,9.821198E-4
-77.8543059641,35.3956939429,9.1342203E-4
-77.8959726306,27.0206939764,0.03810253
-77.9376392971,25.8123606479,0.019391293
-78.1043059631,34.2706939474,0.0014647458
-78.2293059626,34.0623606149,0.001706667
-78.2293059626,34.2706939474,0.001964342
-78.2709726291,26.7290273109,0.029639775
-78.3543059621,33.9373606154,0.0033235864
-78.3543059621,35.5623606089,1.941512E-4
-78.5626392946,26.6456939779,0.033675537
-78.7709726271,33.7706939494,0.008154174
-78.8543059601,26.6456939779,0.048399337
-78.9793059596,35.8123606079,1.7686351E-4
-79.0209726261,35.8123606079,3.2728238E-4
-79.1876392921,35.6873606084,1.19803066E-4
-79.1876392921,35.8956939409,3.8267308E-4
-79.2293059586,34.2706939474,7.7242247E-4
-79.3543059581,35.1456939439,3.2286157E-4
-79.4376392911,35.6456939419,1.06355415E-4
-79.5626392906,35.2290272769,5.2346586E-4
-79.5626392906,35.3956939429,1.07937325E-4
-79.6876392901,33.0623606189,0.015974125
-79.6876392901,34.8123606119,3.3888023E-4
-79.8543059561,33.6040272834,0.0016476146
-79.8959726226,35.9373606074,1.7597419E-4
-79.9376392891,35.2290272769,2.5288636E-4
-79.9793059556,32.6456939539,0.022865452
-79.9793059556,35.5623606089,2.7660397E-4
-80.0626392886,26.3540273124,0.015889782
-80.0626392886,26.6873606444,0.058478612
-80.1043059551,25.8956939809,0.030839235
-80.1043059551,26.3956939789,0.011987723
-80.1043059551,26.8123606439,0.055661745
-80.2709726211,25.9373606474,0.011110302
-80.2709726211,26.8540273104,0.009255473
-80.2709726211,27.1040273094,0.008525312
-80.2709726211,32.5623606209,0.014021922
-80.3126392876,26.3956939789,0.010661757
-80.3543059541,26.7290273109,0.010870828
-80.3959726206,26.9790273099,0.024641326
-80.3959726206,27.6040273074,0.06984149
-80.3959726206,27.8123606399,0.064410485
-80.3959726206,32.5623606209,0.005714312
-80.4376392871,26.4373606454,0.012199543
-80.4376392871,26.5623606449,0.022493878
-80.4376392871,27.2290273089,0.03205101
-80.4376392871,34.6040272794,3.3270253E-4
-80.4793059536,27.9373606394,0.025123084
-80.6459726196,25.6040273154,0.011484118
-80.6459726196,28.2706939714,0.047515385
-80.6876392861,26.0206939804,0.005947946
-80.7709726191,25.5206939824,0.058824327
-80.7709726191,25.5623606489,0.06227835
-80.7709726191,27.8123606399,0.020831175
-80.7709726191,32.1456939559,0.013238962
-80.7709726191,33.4373606174,7.511746E-4
-80.8126392856,27.1040273094,0.015598882
-80.8126392856,34.7706939454,2.7017327E-4
-80.8543059521,26.3540273124,0.001380074
-80.8543059521,34.4373606134,6.009389E-4
-80.9376392851,26.5623606449,0.015309079
-81.0209726181,28.7706939694,0.009783853
-81.0209726181,29.2706939674,0.007372317
-81.0209726181,32.3956939549,0.0067055
-81.0626392846,27.2290273089,0.05357348
-81.0626392846,34.6873606124,3.3820202E-4
-81.1043059511,29.2290273009,0.046239685
-81.1043059511,35.3540272764,1.3742236E-4
-81.1459726176,35.5623606089,4.0568569E-4
-81.2293059506,25.9373606474,0.028287109
-81.3126392836,26.3123606459,0.013381262
-81.3126392836,29.7290272989,0.03674979
-81.3126392836,29.9790272979,0.031023806
-81.3126392836,30.0206939644,0.030994995
-81.3126392836,33.6040272834,6.707767E-4
-81.3543059501,29.9373606314,0.037617903
-81.3543059501,31.3956939589,0.003843586
-81.3959726166,30.9790272939,0.0115088895
-81.3959726166,35.9790272739,1.9156295E-4
-81.4376392831,28.4373606374,0.052522026
-81.4793059496,31.3123606259,0.0033315425
-81.4793059496,33.4790272839,6.976776E-4
-81.4793059496,34.8540272784,3.8650306E-4
-81.5209726161,25.9790273139,0.024811849
-81.5209726161,27.6456939739,0.021564413
-81.5209726161,29.3123606339,0.032879964
-81.5209726161,33.6873606164,8.6504326E-4
-81.5209726161,34.7290272789,0.0017068271
-81.5626392826,34.9373606114,2.1864343E-4
-81.5626392826,35.6456939419,8.592434E-5
-81.5626392826,35.9790272739,1.8321878E-4
-81.6459726156,35.6040272754,1.2518224E-4
-81.7293059486,30.1456939639,0.01312998
-81.7709726151,27.7706939734,0.039973296
-81.7709726151,29.1040273014,0.032030527
-81.8126392816,30.6040272954,0.01184226
-81.8126392816,35.3123606099,1.2354647E-4
-81.8543059481,30.3123606299,0.059596293
-81.8543059481,30.5206939624,0.012691215
-81.8543059481,30.9790272939,0.0035241735
-81.8959726146,35.9373606074,6.837467E-6
-81.9376392811,27.9373606394,0.02242012
-81.9376392811,31.8956939569,0.0070539503
-81.9376392811,34.1873606144,3.322485E-4
-81.9793059476,28.8540273024,0.030381054
-81.9793059476,35.0206939444,4.2525944E-4
-81.9793059476,35.9790272739,5.867134E-5
-82.0209726141,31.7706939574,0.0029672359
-82.0209726141,35.4790272759,4.856665E-5
-82.0209726141,35.8956939409,3.7277525E-5
-82.0626392806,33.5623606169,8.824201E-4
-82.1043059471,34.2706939474,2.6744202E-4
-82.1459726136,35.4790272759,2.67123E-5
-82.1459726136,35.9790272739,9.76685E-5
-82.1876392801,35.5206939424,7.130781E-5
-82.1876392801,35.7706939414,6.230922E-5
-82.2293059466,35.7706939414,5.380751E-5
-82.2293059466,35.8123606079,5.8133584E-5
-82.2709726131,26.9373606434,0.016096085
-82.2709726131,35.8956939409,1.0162553E-4
-82.3126392796,27.5623606409,0.009347566
-82.3126392796,34.8123606119,3.8952666E-4
-82.3126392796,35.3123606099,8.182084E-6
-82.3126392796,35.3540272764,5.33498E-6
-82.3126392796,35.7706939414,1.4099309E-5
-82.3543059461,27.9790273059,0.03793776
-82.3543059461,30.7706939614,0.00937172
-82.3543059461,35.1040272774,9.8956756E-5
-82.3543059461,35.2706939434,4.3877626E-5
-82.3543059461,35.3123606099,2.1196243E-5
-82.3543059461,35.3540272764,3.371935E-5
-82.3959726126,34.6040272794,9.984009E-4
-82.3959726126,35.7290272749,1.2863167E-4
-82.3959726126,35.9373606074,7.761027E-5
-82.4376392791,35.9790272739,1.2498551E-4
-82.4793059456,32.0206939564,0.0015622758
-82.4793059456,34.1873606144,0.002307957
-82.5209726121,35.5206939424,8.1441474E-5
-82.5626392786,29.4790272999,0.020190598
-82.5626392786,30.5206939624,0.010939375
-82.5626392786,35.1873606104,3.1183952E-6
-82.6043059451,35.1456939439,4.9339587E-6
-82.6043059451,35.3956939429,1.5264392E-4
-82.6459726116,34.7290272789,3.9885726E-4
-82.6459726116,35.2706939434,7.387994E-5
-82.6459726116,35.4790272759,1.3785494E-4
-82.6459726116,35.9373606074,3.834828E-4
-82.6876392781,28.7706939694,0.03558122
-82.6876392781,34.8540272784,4.8170754E-4
-82.6876392781,34.8956939449,3.6623672E-4
-82.6876392781,35.0623606109,3.931679E-5
-82.6876392781,35.2706939434,8.295843E-5
-82.6876392781,35.4373606094,1.0350819E-4
-82.7293059446,32.3540272884,0.0014001108
-82.7709726111,27.9790273059,0.07233227
-82.7709726111,34.8540272784,7.48197E-5
-82.7709726111,35.0206939444,1.8919069E-5
-82.7709726111,35.8123606079,6.8837457E-4
-82.8126392776,34.3540272804,0.0014221538
-82.8126392776,34.7706939454,9.934522E-5
-82.8126392776,35.3123606099,1.5355085E-5
-82.8543059441,34.0206939484,0.0013885405
-82.8543059441,34.4790272799,0.0014405596
-82.8543059441,35.3540272764,1.6519585E-6
-82.8543059441,35.4373606094,1.0037127E-4
-82.8543059441,35.6873606084,3.9759816E-5
-82.8543059441,35.8956939409,7.653922E-4
-82.8543059441,35.9790272739,3.0559505E-4
-82.8959726106,34.6873606124,1.2570838E-4
-82.8959726106,35.1456939439,7.4084082E-6
-82.8959726106,35.2290272769,1.1304264E-5
-82.8959726106,35.6456939419,6.560255E-5
-82.8959726106,35.9373606074,3.8925422E-4
-82.9376392771,29.8956939649,0.028562414
-82.9376392771,34.0206939484,0.0020178282
-82.9793059436,32.8956939529,0.006083104
-82.9793059436,34.7290272789,1.088447E-4
-83.0209726101,34.9790272779,1.787743E-5
-83.0209726101,35.0623606109,1.9461995E-6
-83.1043059431,29.1873606344,0.028171748
-83.1043059431,30.1456939639,0.0038710583
-83.1043059431,33.9790272819,4.4411037E-4
-83.1043059431,34.6873606124,6.498587E-4
-83.1043059431,35.1873606104,1.8019454E-6
-83.1459726096,33.0623606189,0.007412883
-83.1459726096,33.9790272819,4.1289598E-4
-83.1459726096,35.0623606109,5.915407E-6
-83.1876392761,30.0623606309,0.0077334777
-83.1876392761,35.6040272754,1.932516E-5
-83.2293059426,35.0623606109,1.243438E-6
-83.2293059426,35.6873606084,1.35649725E-5
-83.2709726091,33.0623606189,6.47215E-4
-83.2709726091,34.8123606119,1.4121528E-4
-83.3126392756,32.3540272884,0.0045016916
-83.3126392756,34.8540272784,2.6622432E-5
-83.3126392756,35.2706939434,2.2188797E-5
-83.3126392756,35.6456939419,1.625692E-5
-83.3543059421,29.6456939659,0.0252878
-83.3543059421,34.9790272779,2.1846421E-5
-83.3543059421,35.3540272764,1.7217417E-5
-83.4793059416,32.4373606214,0.008051869
-83.4793059416,34.1040272814,0.0016903181
-83.4793059416,34.8123606119,1.133627E-5
-83.4793059416,34.8956939449,1.5152699E-5
-83.5209726081,31.8540272904,0.0017640806
-83.5209726081,34.5206939464,1.4627178E-4
-83.5209726081,34.6040272794,3.3777492E-4
-83.5209726081,34.8123606119,5.715281E-5
-83.5209726081,35.0623606109,9.225023E-6
-83.5626392746,29.9790272979,0.039004516
-83.5626392746,34.4373606134,9.341933E-5
-83.6043059411,33.1040272854,0.005522511
-83.6043059411,35.4790272759,4.149053E-5
-83.6459726076,31.8540272904,0.010830683
-83.6459726076,35.5206939424,6.239195E-5
-83.6459726076,35.6873606084,0.0011961812
-83.6876392741,33.0623606189,0.004418933
-83.6876392741,33.2290272849,0.004784073
-83.6876392741,35.0623606109,2.5816375E-5
-83.6876392741,35.3540272764,1.7188753E-4
