"Species","x","y","bio_1","bio_12","bio_14","bio_6","bio_9"
"Podomys_floridanus",-80.051986,26.586736,238,1532,64,160,196
"Podomys_floridanus",-80.0532571,26.7162491,238,1520,64,160,195
"Podomys_floridanus",-80.06985,26.566109,238,1529,64,161,196
"Podomys_floridanus",-80.08333,26.35833,240,1536,58,163,198
"Podomys_floridanus",-80.11689,27.00722,237,1502,68,158,193
"Podomys_floridanus",-80.143002,27.084904,236,1495,67,157,192
"Podomys_floridanus",-80.177,27.13682,235,1475,65,155,191
"Podomys_floridanus",-80.25322,27.197342,235,1412,60,152,189
"Podomys_floridanus",-80.32583,27.44639,234,1371,57,154,188
"Podomys_floridanus",-80.38056,27.58639,233,1363,56,152,186
"Podomys_floridanus",-80.500381,27.880602,231,1299,49,148,195
"Podomys_floridanus",-80.60833,28.08333,229,1257,47,143,197
"Podomys_floridanus",-80.63033,28.12918,229,1276,47,140,195
"Podomys_floridanus",-80.6382,28.0936,228,1285,48,140,195
"Podomys_floridanus",-80.65722,28.61389,226,1311,56,137,190
"Podomys_floridanus",-80.672551,28.541387,226,1310,55,135,191
"Podomys_floridanus",-80.69944,28.64972,225,1328,56,134,188
"Podomys_floridanus",-81.053846,28.654806,220,1309,52,114,179
"Podomys_floridanus",-81.16401,28.8193,218,1284,50,110,176
"Podomys_floridanus",-81.200053,28.602488,218,1277,51,108,176
"Podomys_floridanus",-81.2053,28.34863,219,1266,50,110,178
"Podomys_floridanus",-81.220985,28.611177,217,1261,50,106,175
"Podomys_floridanus",-81.25,28.866667,217,1289,49,106,174
"Podomys_floridanus",-81.266685,28.869167,217,1238,46,105,173
"Podomys_floridanus",-81.277496,29.827547,213,1295,62,108,169
"Podomys_floridanus",-81.288824,27.195067,227,1274,40,118,190
"Podomys_floridanus",-81.292961,29.831945,212,1324,63,106,167
"Podomys_floridanus",-81.297376,29.768603,213,1335,63,106,167
"Podomys_floridanus",-81.328333,27.125667,225,1381,44,116,188
"Podomys_floridanus",-81.328899,27.208082,225,1368,44,116,188
"Podomys_floridanus",-81.33778,27.07214,226,1326,41,118,190
"Podomys_floridanus",-81.3529,27.1514,225,1330,42,116,188
"Podomys_floridanus",-81.355444,27.358556,224,1307,42,115,186
"Podomys_floridanus",-81.3629902,27.2802267,225,1302,41,115,187
"Podomys_floridanus",-81.368896,27.20854,225,1272,41,116,188
"Podomys_floridanus",-81.370917,27.186389,224,1325,43,115,187
"Podomys_floridanus",-81.377651,27.328014,225,1249,40,114,187
"Podomys_floridanus",-81.380861,27.219556,225,1308,43,115,187
"Podomys_floridanus",-81.391902,28.039127,220,1262,48,105,178
"Podomys_floridanus",-81.40425,27.368167,224,1283,41,114,186
"Podomys_floridanus",-81.411379,29.826323,211,1339,62,102,165
"Podomys_floridanus",-81.41357,28.89064,215,1294,48,99,170
"Podomys_floridanus",-81.41475,27.381778,224,1325,42,113,185
"Podomys_floridanus",-81.416767,28.097115,219,1291,50,104,176
"Podomys_floridanus",-81.417175,28.097204,219,1260,49,102,176
"Podomys_floridanus",-81.4195,27.96741,219,1286,49,104,177
"Podomys_floridanus",-81.435445,27.465431,223,1305,42,111,183
"Podomys_floridanus",-81.523413,27.97843,218,1250,48,101,176
"Podomys_floridanus",-81.52575,27.571444,221,1336,46,107,181
"Podomys_floridanus",-81.539357,27.657733,221,1288,46,107,180
"Podomys_floridanus",-81.55524,29.007747,212,1347,51,93,165
"Podomys_floridanus",-81.5557963,28.3209886,215,1264,50,96,170
"Podomys_floridanus",-81.556306,27.687222,220,1322,46,105,178
"Podomys_floridanus",-81.57222,29.15333,212,1331,51,94,165
"Podomys_floridanus",-81.604835,27.495184,223,1272,44,109,182
"Podomys_floridanus",-81.60667,30.63167,204,1295,53,85,151
"Podomys_floridanus",-81.67167,29.47889,210,1285,52,91,161
"Podomys_floridanus",-81.745481,29.183606,210,1321,51,90,162
"Podomys_floridanus",-81.76539,29.37996,209,1323,53,89,160
"Podomys_floridanus",-81.79167,29.16667,209,1362,51,88,160
"Podomys_floridanus",-81.80042,29.47227,208,1312,55,88,159
"Podomys_floridanus",-81.81645,29.39176,208,1356,53,87,159
"Podomys_floridanus",-81.81681,29.42099,208,1346,56,87,158
"Podomys_floridanus",-81.833737,29.704548,206,1367,54,84,178
"Podomys_floridanus",-81.85017,29.42047,207,1376,55,86,167
"Podomys_floridanus",-81.8517049,29.2092573,209,1282,46,88,195
"Podomys_floridanus",-81.856896,29.787212,205,1346,53,83,176
"Podomys_floridanus",-81.86702,29.40571,207,1391,54,86,179
"Podomys_floridanus",-81.87431,29.31055,208,1336,49,87,187
"Podomys_floridanus",-81.87806,28.81056,211,1281,46,89,183
"Podomys_floridanus",-81.879222,29.643715,206,1353,53,84,188
"Podomys_floridanus",-81.89012,29.23731,210,1287,48,88,196
"Podomys_floridanus",-81.9,29.419,207,1364,53,85,193
